,country_name,contact_trace,inter_travel,movement_res,public_trans,test_pol,vaccine_pol
99,Sri Lanka,2.0,3.0,2.0,2.0,3.0,5.0
100,Lesotho,1.0,1.0,0.0,1.0,2.0,2.0
101,Lithuania,2.0,2.0,0.0,0.0,3.0,5.0
102,Luxembourg,2.0,3.0,0.0,0.0,3.0,5.0
103,Latvia,1.0,2.0,0.0,0.0,2.0,5.0
104,Macao,2.0,3.0,0.0,0.0,3.0,4.0
105,Morocco,1.0,2.0,1.0,1.0,3.0,3.0
106,Monaco,2.0,2.0,0.0,0.0,3.0,5.0
107,Moldova,1.0,2.0,0.0,0.0,3.0,3.0
108,Madagascar,1.0,4.0,0.0,0.0,3.0,3.0
109,Mexico,1.0,1.0,2.0,1.0,1.0,5.0
110,Mali,2.0,1.0,0.0,0.0,3.0,3.0
111,Malta,2.0,3.0,0.0,0.0,3.0,5.0
112,Myanmar,1.0,2.0,1.0,1.0,2.0,4.0
113,Mongolia,1.0,1.0,1.0,0.0,3.0,4.0
114,Mozambique,1.0,1.0,0.0,1.0,0.0,4.0
115,Mauritania,1.0,1.0,0.0,0.0,3.0,3.0
116,Mauritius,2.0,2.0,0.0,0.0,3.0,5.0
117,Malawi,2.0,2.0,0.0,1.0,3.0,5.0
118,Malaysia,1.0,3.0,2.0,2.0,3.0,4.0
119,Namibia,2.0,1.0,0.0,1.0,3.0,3.0
120,Niger,0.0,2.0,0.0,0.0,3.0,4.0
121,Nigeria,0.0,2.0,0.0,1.0,3.0,5.0
122,Nicaragua,0.0,1.0,0.0,0.0,3.0,3.0
123,Netherlands,2.0,3.0,0.0,1.0,3.0,5.0
124,Norway,2.0,2.0,0.0,1.0,3.0,5.0
125,Nepal,1.0,2.0,1.0,1.0,3.0,4.0
126,New Zealand,2.0,4.0,2.0,2.0,2.0,5.0
127,Oman,1.0,2.0,1.0,1.0,3.0,5.0
128,Pakistan,1.0,2.0,1.0,1.0,3.0,5.0
129,Panama,2.0,2.0,2.0,2.0,3.0,4.0
130,Peru,1.0,3.0,2.0,1.0,3.0,4.0
131,Philippines,1.0,3.0,1.0,2.0,3.0,3.0
132,Papua New Guinea,1.0,2.0,1.0,1.0,1.0,5.0
133,Poland,1.0,2.0,0.0,0.0,2.0,5.0
134,Puerto Rico,2.0,1.0,0.0,0.0,3.0,4.0
135,Portugal,1.0,3.0,0.0,0.0,3.0,5.0
136,Paraguay,2.0,2.0,0.0,0.0,2.0,3.0
137,Palestine,0.0,4.0,2.0,2.0,1.0,3.0
138,Qatar,2.0,2.0,0.0,1.0,3.0,4.0
139,Kosovo,1.0,3.0,0.0,0.0,3.0,4.0
140,Romania,1.0,2.0,0.0,0.0,3.0,5.0
141,Russia,2.0,2.0,2.0,0.0,3.0,5.0
142,Rwanda,2.0,2.0,0.0,1.0,2.0,2.0
143,Saudi Arabia,1.0,3.0,0.0,1.0,3.0,5.0
144,Sudan,1.0,1.0,0.0,0.0,3.0,4.0
145,Senegal,1.0,3.0,0.0,0.0,3.0,4.0
146,Singapore,2.0,3.0,0.0,0.0,3.0,5.0
147,Solomon Islands,0.0,3.0,0.0,0.0,1.0,1.0
148,Sierra Leone,1.0,2.0,0.0,1.0,3.0,4.0
149,El Salvador,0.0,1.0,0.0,0.0,3.0,4.0
150,San Marino,2.0,1.0,0.0,0.0,2.0,5.0
151,Somalia,1.0,1.0,0.0,0.0,3.0,3.0
152,Serbia,1.0,1.0,0.0,0.0,3.0,5.0
153,South Sudan,1.0,2.0,0.0,0.0,2.0,4.0
154,Suriname,1.0,2.0,2.0,2.0,3.0,4.0
155,Slovak Republic,1.0,2.0,0.0,0.0,3.0,5.0
156,Slovenia,2.0,1.0,0.0,0.0,3.0,3.0
157,Sweden,0.0,3.0,0.0,0.0,2.0,5.0
158,Eswatini,2.0,1.0,2.0,1.0,3.0,5.0
159,Seychelles,2.0,3.0,2.0,1.0,3.0,5.0
160,Syria,0.0,1.0,0.0,0.0,1.0,4.0
161,Chad,1.0,2.0,0.0,0.0,2.0,4.0
162,Togo,2.0,2.0,2.0,0.0,3.0,3.0
163,Thailand,1.0,2.0,2.0,0.0,3.0,5.0
164,Tajikistan,0.0,4.0,0.0,0.0,1.0,5.0
165,Turkmenistan,0.0,4.0,2.0,0.0,3.0,5.0
166,Timor-Leste,1.0,2.0,2.0,2.0,1.0,5.0
167,Tonga,1.0,4.0,0.0,0.0,1.0,1.0
168,Trinidad and Tobago,2.0,2.0,2.0,2.0,2.0,3.0
169,Tunisia,0.0,2.0,0.0,0.0,3.0,3.0
170,Turkey,0.0,3.0,0.0,0.0,1.0,5.0
171,Taiwan,2.0,4.0,1.0,0.0,3.0,4.0
172,Tanzania,0.0,2.0,0.0,0.0,3.0,4.0
173,Uganda,0.0,1.0,2.0,2.0,3.0,3.0
174,Ukraine,1.0,1.0,2.0,0.0,1.0,3.0
175,Uruguay,2.0,4.0,1.0,1.0,3.0,5.0
176,United States,1.0,3.0,2.0,1.0,3.0,5.0
177,Uzbekistan,0.0,4.0,2.0,1.0,2.0,4.0
178,Venezuela,0.0,3.0,1.0,1.0,3.0,1.0
179,United States Virgin Islands,2.0,1.0,0.0,0.0,3.0,5.0
180,Vietnam,2.0,3.0,2.0,2.0,3.0,5.0
181,Vanuatu,2.0,4.0,0.0,0.0,1.0,4.0
182,Yemen,1.0,3.0,1.0,0.0,1.0,3.0
183,South Africa,2.0,1.0,0.0,1.0,3.0,5.0
184,Zambia,0.0,2.0,0.0,0.0,3.0,4.0
185,Zimbabwe,1.0,2.0,2.0,1.0,2.0,5.0
